company_name,company_type,hardware_stack,actuation_type,reducers,sensors,ai_architecture,autonomy_level,manufacturing_scale,supply_chain_control,logo_url,headquarters,year_founded,flagship_product,source,url,date_retrieved
Tesla,Humanoid,Custom electric actuators with Tesla HW 3.0 computer,Electromechanical 40 DOF (12 arms,12 legs,12 hands,2 neck/torso),Custom planetary gearboxes,Multiple cameras,microphones,gyroscopes,accelerometers,touch-force sensors,End-to-end (FSD neural network) with LLM layer,Semi-autonomous with teleop,Mega-scale (Giga factories),High vertical integration (actuators, batteries, chips),https://upload.wikimedia.org/wikipedia/commons/e/e8/Tesla_logo.png,Palo Alto/USA,2003,Optimus Gen-2,"viso.ai,robotsguide.com",https://viso.ai/edge-ai/tesla-bot-optimus/,2025-02-02
Boston Dynamics,Humanoid,Custom electric actuators with Hyundai Mobis supply chain,Custom electric 56 DOF fully rotational,Custom gearboxes with automotive supply chain,360° depth perception with 3D vision sensors,Hybrid (Modular control with LBM foundation models),High autonomy with fleet learning,High-scale with 30K capacity (new factory),Hyundai supply chain partnership,https://upload.wikimedia.org/wikipedia/commons/e/e1/Boston_Dynamics_logo.png,Waltham/USA,1992,Atlas,"bostondynamics.com,qviro.com",https://bostondynamics.com/blog/boston-dynamics-unveils-new-atlas-robot-to-revolutionize-industry/,2025-02-02
Figure AI,Humanoid,Custom electric humanoid platform,Electric actuators with force feedback,Custom high-torque reducers,360° coverage with safety sensors and force detection,End-to-end with OpenAI/Microsoft AI,Task-autonomous with learning,Medium-scale (BotQ facility),Medium control (some custom, some partners),https://www.figure.ai/wp-content/uploads/2023/08/Figure-Logo-Horizontal-Black.png,Sunnyvale/USA,2022,Figure 02,"qviro.com,humanoid.guide",https://qviro.com/product/figure/figure-02/specifications,2025-02-02
Agility Robotics,Humanoid,Electric bipedal platform,Electric actuators with specialized end effectors,Custom harmonic drives,Advanced perception with 3D vision and human detection,Modular architecture with fleet management,High autonomy in structured environments,Medium-scale (commercial deployment),Medium control (key suppliers),https://agilityrobotics.com/wp-content/uploads/2022/05/Agility-Robotics-Logo.png,Corvallis/USA,2015,Digit,"qviro.com,robotsguide.com",https://qviro.com/product/agility-robotics/digit/specifications,2025-02-02
Apptronik,Humanoid,Electric humanoid with modularity,Linear electric actuators (mass-producible),Custom mass-producible reducers,Advanced perception with multimodal sensors,Modular architecture with Apollo SDK,Task-autonomous in industrial settings,Small-scale (pilot production),High vertical integration planned,https://apptronik.com/wp-content/uploads/2023/07/Apptronik-Logo.png,Austin/USA,2016,Apollo,"apptronik.com,viso.ai",https://apptronik.com/apollo/,2025-02-02
Unitree,Humanoid,Electric platform with focus on agility,High-torque electric joints with flexible actuators,Custom harmonic drive-style reducers,360° depth perception with LiDAR and cameras,Modular control with learning capabilities,High autonomy in navigation,Medium-scale (consumer/industrial),Medium control (Chinese suppliers),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Unitree_Logo.svg/2560px-Unitree_Logo.svg.png,Hangzhou/China,2016,H1,"unitree.com,qviro.com",https://www.unitree.com/h1,2025-02-02
Amazon Robotics,Logistics,AMRs with robotic arms and Gantries,Electric actuators for material handling,High-precision gearing,2D/3D cameras and safety sensors across fleet,Modular with centralized fleet AI,Fully autonomous in warehouse ops,Mega-scale (global operations),High vertical integration,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Amazon_logo.svg/800px-Amazon_logo.svg.png,Seattle/USA,2012,Amazon Robotics System,"amazonrobotics.com",https://www.amazonrobotics.com,2025-02-02
Locus Robotics,Logistics,AMRs with modular payload systems,Electric navigation drives,Standard industrial reducers,2D LiDAR and camera arrays,Modular with fleet coordination AI,High autonomy in structured warehouses,Medium-scale (commercial deployments),Medium control (key component suppliers),https://locusrobotics.com/wp-content/uploads/2023/02/Locus-Robotics-logo.png,Wilmington/USA,2014,LocusBots,"locusrobotics.com,qviro.com",https://www.locusrobotics.com,2025-02-02
Symbotic,Logistics,Autonomous warehouse system,Robotic actuators for high-density storage,Custom reducers for pallet handling,3D vision and safety sensors across system,End-to-end with centralized warehouse AI,Fully autonomous in material handling,High-scale (facilities across North America),High vertical integration,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Symbotic_logo.svg/1200px-Symbotic_logo.svg.png,Wilmington/USA,2007,Symbotic System,"symbotic.com,sec.gov",https://www.symbotic.com/symbotic-system/,2025-02-02
FANUC,Industrial,Industrial arms and cobots,Servo-controlled electric actuators,High-precision planetary/harmonic drives,Integrated sensors and vision systems,Modular AI with learning capabilities (FIELD system),High autonomy in manufacturing environments,Mega-scale (100K+ annual production),High vertical integration in Japan,https://upload.wikimedia.org/wikipedia/commons/9/92/FANUC_logo.svg,Oshino/Japan,1956,FANUC Robotics,"fanuc.com,vention.io",https://www.fanucamerica.com/products/robots,2025-02-02
