Startup_ID,Company_Name,Industry,One_Line_Pitch,Founding_Year,Headquarters_Location,Funding_Stage,Last_Funding_Amount_USD_Millions,Number_of_Employees,Website,LinkedIn_Profile,Twitter_Handle,CEO_Name,Core_Technology,Market_Size_Billion_USD
1,"Rodriguez, Figueroa and Sanchez",Social Media,Social currencies incentivizing participation and loyalty.,2016,"Lake Curtis, Saint Vincent and the Grenadines",Pre-Seed,0.25,,rodriguezfigueroaandsanchez.app,https://linkedin.com/company/rodriguez-figueroa-and-sanchez,@rodriguezfig8936,Angie Henderson,Machine Learning,15.0
2,Davis and Sons,EdTech,Predictive dropout prevention powered by analytics.,2014,"New Jamesside, Italy",Pre-Seed,1.07,8.0,davisandsons.tech,https://linkedin.com/company/davis-and-sons,@davisandsons4558,Kevin Pacheco,Big Data,5.0
3,Blake and Sons,SaaS,Cross-border collaboration SaaS optimized for compliance.,2018,"Petersonberg, Cuba",Series B,,121.0,blakeandsons.ai,https://linkedin.com/company/blake-and-sons,@blakeandsons9892,Gabrielle Davis,Deep Learning,60.0
4,Howard LLC,IoT,AI + IoT integration enabling self-healing machines.,2017,"Lindsaymouth, Mauritania",Seed,3.19,20.0,howardllc.io,https://linkedin.com/company/howard-llc,@howardllc1140,Thomas Miller,IoT,10.0
5,Calderon-Montgomery,Mobility,Voice-first interfaces for vehicle infotainment systems.,2016,"Barbaraland, Aruba",Seed,4.21,13.0,calderonmontgomery.io,https://linkedin.com/company/calderon-montgomery,@calderonmont4375,Patricia Galloway,NLP,15.0
6,Delacruz Group,HealthTech,Federated learning safeguarding patient privacy.,2025,"Shawnstad, Central African Republic",Private Equity,195.93,314.0,delacruzgroup.io,https://linkedin.com/company/delacruz-group,@delacruzgrou526,Daniel Adams,Cloud Computing,80.0
7,"Wong, Lynch and Jackson",Gaming,Augmented reality overlays in multiplayer settings.,2023,"East Steven, Faroe Islands",Series D,278.64,471.0,wonglynchandjackson.io,https://linkedin.com/company/wong-lynch-and-jackson,@wonglynchand4041,Margaret Hawkins DDS,Quantum Computing,60.0
8,Perez Inc,E-commerce,Visual search technology turning images into buying actions.,2023,"Richardland, Croatia",Series A,,,perezinc.com,https://linkedin.com/company/perez-inc,@perezinc2505,Latoya Robbins,NLP,30.0
9,Rios Group,Cybersecurity,Micro-segmentation restricting breach spread.,2016,"Thomasberg, Egypt",IPO,874.7,,riosgroup.app,https://linkedin.com/company/rios-group,@riosgroup1877,Kimberly Burgess,5G,60.0
10,Hurst-Ross,HealthTech,Respiratory monitoring powered by predictive ML.,2016,"East William, Bermuda",Pre-Seed,1.15,2.0,hurstross.app,https://linkedin.com/company/hurst-ross,@hurstross4890,Shannon Hernandez,Cloud Computing,40.0
11,Conner Group,PropTech,Smart buildings with predictive maintenance.,2018,"South Patrickmouth, Marshall Islands",,,58.0,connergroup.ai,https://linkedin.com/company/conner-group,@connergroup5039,Juan Dunlap,Quantum Computing,50.0
12,"Le, Maldonado and Herrera",FinTech,Secure fintech APIs enabling embedded partnerships.,2010,"Kaylamouth, Bouvet Island (Bouvetoya)",IPO,579.44,,lemaldonadoandherrera.app,https://linkedin.com/company/le-maldonado-and-herrera,@lemaldonadoa7788,Christopher Smith,Virtual Reality,30.0
13,"Liu, Baker and Mason",EdTech,AR overlays bridging physical and virtual classrooms.,2014,"New Rita, Trinidad and Tobago",,,205.0,liubakerandmason.app,https://linkedin.com/company/liu-baker-and-mason,@liubakerandm6119,Sarah Romero,Quantum Computing,150.0
14,Hernandez and Sons,FinTech,Payment orchestration routing for cost efficiency.,2025,"New Mariotown, Bouvet Island (Bouvetoya)",Pre-Seed,0.37,,hernandezandsons.app,https://linkedin.com/company/hernandez-and-sons,@hernandezand965,Sherry Decker,Blockchain,50.0
