company_name,ai_architecture,training_approach,simulation_framework,computer_vision,learning_method,autonomy_level_1_5,deployment_model,inference_hardware,key_algorithms,date_retrieved,source,url
Boston Dynamics,Modular with end-to-end locomotion planning,Reinforcement learning + MPC,Custom simulation framework,Multi-camera vision fusion,End-to-end neural networks for locomotion,5,Enterprise only,NVIDIA Orin/Custom,Policy gradients,Model Predictive Control,2025-02-02,Boston Dynamics,https://bostondynamics.com/
Figure AI,End-to-end VLA (Vision-Language-Action),Helix VLA System 1+System 2,Simulation + real-world teleoperation,Helix VLA with multi-camera,Imitation learning + reinforcement learning,4,Enterprise deployment,NVIDIA embedded GPUs,Helix VLA 7B+80M parameters,2025-02-02,Figure AI,https://www.figure.ai/news/helix
Tesla (Optimus),End-to-end neural networks,Massive video dataset training,Custom simulator (Dojo),Multi-cam stereo vision,End-to-end perception-to-control,3,Internal Tesla deployment,Tesla FSD Hardware 4.0,FSD neural networks,End-to-end transformer,2025-02-02,Tesla,https://www.tesla.com/AI
Agility Robotics,Modular AI architecture,Reinforcement learning,Simulation-based training,Depth camera vision,Modular task-specific policies,3,Enterprise sales,NVIDIA Jetson,Locomotion networks,Planning algorithms,2025-02-02,Agility Robotics,https://www.agilityrobotics.com
Apptronik,Modular AI system,Reinforcement learning,Custom simulation,Vision-based perception,Modular control policies,3,Enterprise only,NVIDIA/Custom,Task-specific modules,2025-02-02,Apptronik,https://www.apptronik.com
Unitree,Modular with vision integration,Reinforcement learning,ISAAC/Gym simulators,Stereo vision cameras,Modular locomotion policies,3,Commercial available,NVIDIA Jetson Orin,Locomotion controllers,2025-02-02,Unitree,https://www.unitree.com
ABB Robotics,Modular AI + vision,AI + traditional control,ABB simulation tools,Integrated machine vision,Modular task programming,4,Commercial sold,ABB control systems,Vision-guided motion,Path planning algorithms,2025-02-02,ABB Robotics,https://www.abb.com/robotics
FANUC,Modular AI architecture,AI + traditional,FANUC ROBOGUIDE simulator,Vision systems,Modular programming,4,Commercial sold,FANUC controllers,FANUC AI,Vision-based learning,2025-02-02,FANUC,https://www.fanucamerica.com
Yaskawa Electric,Modular AI + vision,AI integration,Yaskawa simulators,Vision sensors,Modular control,4,Commercial sold,Yaskawa controllers,Yaskawa AI,Vision guidance,2025-02-02,Yaskawa,https://www.yaskawa.com
KUKA,Modular AI architecture,AI + traditional,KUKA.Sim,Integrated vision,Modular programming,4,Commercial sold,KUKA controllers,KUKA AI,Vision-based automation,2025-02-02,KUKA,https://www.kuka.com
Amazon Robotics,Modular AI + optimization,Reinforcement learning,Custom simulation,2D/3D vision + depth,AI-driven fleet optimization,4,Internal Amazon use,Custom AI,Fleet management,Path optimization,2025-02-02,Amazon Robotics,https://www.amazonrobotics.com
Locus Robotics,Modular AI + fleet management,Machine learning,Custom simulation,2D LiDAR + cameras,Multi-robot coordination,4,Commercial SaaS,Custom cloud AI,Fleet optimization,Dynamic routing,2025-02-02,Locus Robotics,https://www.locusrobotics.com/
