bug_id,title,description,error_code,bug_category,bug_domain,tech_stack,severity,environment,developer_role,root_cause,suggested_fix,explanation,created_at
BUG_000001,API Bug detected in system,This issue relates to a api bug occurring in the application.,403.0,API Bug,Mobile,Spring Boot,High,Development,Full-Stack Developer,Misconfiguration or logic issue related to api bug,Review and fix the api bug according to best practices,This bug requires a full-stack developer due to its nature.,2025-04-07
BUG_000002,Memory Leak detected in system,This issue relates to a memory leak occurring in the application.,500.0,Memory Leak,Data,GCP,Medium,Production,Backend Developer,Misconfiguration or logic issue related to memory leak,Review and fix the memory leak according to best practices,This bug requires a backend developer due to its nature.,2025-07-04
BUG_000003,Cloud Configuration Bug detected in system,This issue relates to a cloud configuration bug occurring in the application.,404.0,Cloud Configuration Bug,DevOps,Django,Medium,Production,Mobile Developer,Misconfiguration or logic issue related to cloud configuration bug,Review and fix the cloud configuration bug according to best practices,This bug requires a mobile developer due to its nature.,2025-05-02
BUG_000004,Authentication Bug detected in system,This issue relates to a authentication bug occurring in the application.,404.0,Authentication Bug,Backend Systems,Flask,Medium,Production,Mobile Developer,Misconfiguration or logic issue related to authentication bug,Review and fix the authentication bug according to best practices,This bug requires a mobile developer due to its nature.,2025-07-03
BUG_000005,Logging Bug detected in system,This issue relates to a logging bug occurring in the application.,503.0,Logging Bug,Mobile,Flask,High,Staging,Backend Developer,Misconfiguration or logic issue related to logging bug,Review and fix the logging bug according to best practices,This bug requires a backend developer due to its nature.,2025-09-09
BUG_000006,Frontend Routing Bug detected in system,This issue relates to a frontend routing bug occurring in the application.,502.0,Frontend Routing Bug,Data,Laravel,Medium,Development,Frontend Developer,Misconfiguration or logic issue related to frontend routing bug,Review and fix the frontend routing bug according to best practices,This bug requires a frontend developer due to its nature.,2025-08-28
BUG_000007,CI/CD Bug detected in system,This issue relates to a ci/cd bug occurring in the application.,403.0,CI/CD Bug,Mobile,Laravel,High,Staging,Frontend Developer,Misconfiguration or logic issue related to ci/cd bug,Review and fix the ci/cd bug according to best practices,This bug requires a frontend developer due to its nature.,2025-07-13
BUG_000008,UI Bug detected in system,This issue relates to a ui bug occurring in the application.,401.0,UI Bug,Mobile,AWS,Medium,Production,Backend Developer,Misconfiguration or logic issue related to ui bug,Review and fix the ui bug according to best practices,This bug requires a backend developer due to its nature.,2025-06-14
BUG_000009,Concurrency Bug detected in system,This issue relates to a concurrency bug occurring in the application.,502.0,Concurrency Bug,Web Development,PostgreSQL,High,Staging,DevOps Engineer,Misconfiguration or logic issue related to concurrency bug,Review and fix the concurrency bug according to best practices,This bug requires a devops engineer due to its nature.,2026-01-15
BUG_000010,Monitoring Bug detected in system,This issue relates to a monitoring bug occurring in the application.,403.0,Monitoring Bug,Data,GCP,Critical,Staging,Data Engineer,Misconfiguration or logic issue related to monitoring bug,Review and fix the monitoring bug according to best practices,This bug requires a data engineer due to its nature.,2025-06-23
BUG_000011,Cloud Configuration Bug detected in system,This issue relates to a cloud configuration bug occurring in the application.,401.0,Cloud Configuration Bug,Mobile,MySQL,High,Staging,Backend Developer,Misconfiguration or logic issue related to cloud configuration bug,Review and fix the cloud configuration bug according to best practices,This bug requires a backend developer due to its nature.,2025-05-03
BUG_000012,Frontend Routing Bug detected in system,This issue relates to a frontend routing bug occurring in the application.,401.0,Frontend Routing Bug,Cloud,Kubernetes,High,Production,Frontend Developer,Misconfiguration or logic issue related to frontend routing bug,Review and fix the frontend routing bug according to best practices,This bug requires a frontend developer due to its nature.,2026-01-15
BUG_000013,API Bug detected in system,This issue relates to a api bug occurring in the application.,,API Bug,Backend Systems,MySQL,Critical,Staging,Cloud Engineer,Misconfiguration or logic issue related to api bug,Review and fix the api bug according to best practices,This bug requires a cloud engineer due to its nature.,2025-12-04
BUG_000014,Performance Bug detected in system,This issue relates to a performance bug occurring in the application.,,Performance Bug,Mobile,PostgreSQL,Critical,Staging,Full-Stack Developer,Misconfiguration or logic issue related to performance bug,Review and fix the performance bug according to best practices,This bug requires a full-stack developer due to its nature.,2025-06-30
