id,variant_id,ch_allowed_plan_tiers,meditation_type,published_at,position,title,language,content_group,description,icon_asset_id,is_hidden,should_play_as_guide,search_category,upsell_variant,is_clinical,created_at,updated_at,content_type,author_id,author_name,author_should_display,narrator_id,narrator_name,narrator_bio,narrator_is_composer,narrator_created_at,narrator_updated_at,narrator_headshot_id,narrator_headshot_type,narrator_headshot_content_type,narrator_headshot_size,narrator_headshot_url,narrator_headshot_width,narrator_headshot_height,narrator_headshot_dominant_colors,background_image_id,background_image_type,background_image_content_type,background_image_size,background_image_url,background_image_width,background_image_height,background_image_dominant_colors,titled_background_image_id,titled_background_image_type,titled_background_image_content_type,titled_background_image_size,titled_background_image_url,titled_background_image_width,titled_background_image_height,titled_background_image_dominant_colors,cell_image_id,cell_image_type,cell_image_content_type,cell_image_size,cell_image_url,cell_image_width,cell_image_height,cell_image_dominant_colors,untitled_cell_image_id,untitled_cell_image_type,untitled_cell_image_content_type,untitled_cell_image_size,untitled_cell_image_url,untitled_cell_image_width,untitled_cell_image_height,untitled_cell_image_dominant_colors,subtitle,cell_background_image_id,cell_background_image_type,cell_background_image_content_type,cell_background_image_size,cell_background_image_url,cell_background_image_width,cell_background_image_height,cell_background_image_dominant_colors,narrator_short_bio,featured_start_at,featured_end_at,featured_home_icon_id,featured_home_icon_type,featured_home_icon_content_type,featured_home_icon_size,featured_home_icon_url,featured_home_icon_width,featured_home_icon_height,featured_home_icon_dominant_colors
IkXunPv6-g,CvjgZ59zxe,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2020-08-06T00:00:00.000Z,65,Magic Fountain,ko,0-default,"Cozy up and embark on a magical journey to the kingdom of Lionwood for an enchanting fairytale full of secret wishes, mystery and friendship",85753e19b35235624bd807033a8d6ba3,False,True,sleep_stories,generic,False,2020-08-06T00:35:42.700Z,2021-06-04T16:34:07.924Z,Histoire pour dormir,xx8LLyxN,Chris Advansun,True,AkiQTWadrK,Jo Sae Ryeong,"Diplômée en théâtre et en cinéma à l'université, elle est aujourd'hui la voix officielle de KBS et a été entendue dans plus de 1000 spots publicitaires, dans des domaines aussi variés que les cosmétiques, l'informatique, la construction, la mode et l'automobile. Elle prête également sa voix à des documentaires sur la mode ou les voyages.",False,2019-12-11T18:46:59.798Z,2019-12-27T23:23:08.992Z,d3c04da329441a452ffc49dc6179368f,image,image/png,4580329,https://assets.calm.com/d3c04da329441a452ffc49dc6179368f.png,3000,3000,"['#c8bbb5', '#443231', '#7f5d4b']",202e1c7a5a6d3e7621c234e73688146d,image,image/jpeg,13061343,https://assets.calm.com/202e1c7a5a6d3e7621c234e73688146d.jpeg,1920,1920,"['#d0a14f', '#54711d']",e2e0cd3067179a34f58120fdc85921a8,image,image/jpeg,9012974,https://assets.calm.com/e2e0cd3067179a34f58120fdc85921a8.jpeg,1920,1920,"['#b8914a', '#115c45']",e2e0cd3067179a34f58120fdc85921a8,image,image/jpeg,9012974,https://assets.calm.com/e2e0cd3067179a34f58120fdc85921a8.jpeg,1920,1920,"['#b8914a', '#115c45']",202e1c7a5a6d3e7621c234e73688146d,image,image/jpeg,13061343,https://assets.calm.com/202e1c7a5a6d3e7621c234e73688146d.jpeg,1920,1920,"['#d0a14f', '#54711d']",,,,,,,,,,,,,,,,,,,,
rxAHl7G0LC,ZDI23sLJH4,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2021-01-27T02:00:00.000Z,50,The Lavender Valley,ko,0-default,Stroll along with Sophia as she sets off on a relaxing journey to discover the source of a heavenly scent.,b8ed538cc7a8c2434f44770bfb99951e,False,True,sleep_stories,generic,False,2021-01-27T02:00:00.000Z,2021-08-17T18:31:35.945Z,Histoire pour dormir,xx8LLyxN,Chris Advansun,True,gyvwRl4dWy,Seonghwa Kim,"KBS 41기 성우 김성화입니다. 현재 프리랜서로 활동중이며, 주로 차분하고 신뢰감있는 내레이션과 다수의 오디오 드라마, 게임, 애니메이션 더빙등에 참여하였습니다. 평소 사색과 명상, 산책하는 것을 좋아합니다.",False,2020-12-23T15:04:51.455Z,2020-12-23T15:06:39.103Z,9f1402c1af849f136b48d20ce804c729,image,image/jpeg,326265,https://assets.calm.com/9f1402c1af849f136b48d20ce804c729.jpeg,1287,1287,"['#d4444c', '#2e1404']",12557b16b97005209a929060b162885f,image,image/jpeg,812129,https://assets.calm.com/12557b16b97005209a929060b162885f.jpeg,1920,1920,"['#bf69db', '#4c187c']",9a4237175a95e7df9366785d941a0a23,image,image/jpeg,3509327,https://assets.calm.com/9a4237175a95e7df9366785d941a0a23.jpeg,2000,2000,"['#824492', '#3c135c']",9a4237175a95e7df9366785d941a0a23,image,image/jpeg,3509327,https://assets.calm.com/9a4237175a95e7df9366785d941a0a23.jpeg,2000,2000,"['#824492', '#3c135c']",03a489587f3a505b9dfcbf519552056b,image,image/jpeg,209910,https://assets.calm.com/03a489587f3a505b9dfcbf519552056b.jpeg,1125,300,"['#b444bc', '#621c72']",Fiction,03a489587f3a505b9dfcbf519552056b,image,image/jpeg,209910.0,https://assets.calm.com/03a489587f3a505b9dfcbf519552056b.jpeg,1125.0,300.0,"['#b444bc', '#621c72']",,,,,,,,,,,
DtKuNEqccL,vRzVvP7NEU,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2020-07-07T19:00:00.000Z,68,The Crown of the Palaces,ko,0-default,"Stroll in wonderment as you tour the grounds of this shimmering monument, built as a testament to love",06025041b7ab47e86254a3c4f7b96175,False,True,sleep_stories,generic,False,2020-07-08T01:39:06.184Z,2021-06-04T16:34:07.924Z,Histoire pour dormir,9kKPO5Q1,Christina Yang,True,MTlgSIxy74,Kim Du Ri,"Commentatrice du 37ème tournoi de go organisé par le KBS. Sa palette vocale couvre de nombreux genres : pièces radiophoniques, actualités et promotions d'entreprise, commentaires de documentaires et bien d'autres encore.",False,2020-02-11T20:51:54.951Z,2020-02-12T03:46:40.523Z,108df4f78610786d08bb7f2da5b27c46,image,image/png,3807377,https://assets.calm.com/108df4f78610786d08bb7f2da5b27c46.png,3000,3000,"['#bfa69c', '#2b1e27', '#6a3939']",58b36e0a5e7998aeccd716af9e21fb24,image,image/jpeg,7804875,https://assets.calm.com/58b36e0a5e7998aeccd716af9e21fb24.jpeg,1920,1920,"['#05a2ec', '#326207']",8481484031fd03d73cc156e3f5c944bc,image,image/jpeg,455766,https://assets.calm.com/8481484031fd03d73cc156e3f5c944bc.jpeg,1920,1920,"['#077fbf', '#326004']",8481484031fd03d73cc156e3f5c944bc,image,image/jpeg,455766,https://assets.calm.com/8481484031fd03d73cc156e3f5c944bc.jpeg,1920,1920,"['#077fbf', '#326004']",58b36e0a5e7998aeccd716af9e21fb24,image,image/jpeg,7804875,https://assets.calm.com/58b36e0a5e7998aeccd716af9e21fb24.jpeg,1920,1920,"['#05a2ec', '#326207']",,,,,,,,,,,,,,,,,,,,
EACjve6gC6,Qb5wrjwmOS,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2021-06-15T19:00:00.000Z,43,Adrift in a Dream,ko,0-default,"Escape to dreamland with Ye Moek, in this tour above the clouds to wild and wondrous places",014cea9d91c96c3f4a630668a8047c1e,False,True,sleep_stories,generic,False,2021-05-24T20:07:27.554Z,2021-08-17T18:32:27.697Z,Histoire pour dormir,xx8LLyxN,Chris Advansun,True,rKeqDmFQC-,Ye Moek,"안녕하세요, 편안하고 듣기 좋은 예쁜 목소리 예목입니다. 명상은 인간에게 있어서 꼭 필요한 최고의 힐링 중 하나라 생각합니다. 오늘도 제 목소리와 함께 편안한 밤 될 수 있기를 바라겠습니다. 감사합니다 :) ",False,2021-02-25T11:53:19.229Z,2021-02-25T11:58:18.483Z,c43a5638011107466eb9d1d0eaba58b3,image,image/jpeg,177218,https://assets.calm.com/c43a5638011107466eb9d1d0eaba58b3.jpeg,500,500,"['#c7724d', '#4a3222']",d73c75d1bcea35fcfc6ff60cb614abe2,image,image/jpeg,9193307,https://assets.calm.com/d73c75d1bcea35fcfc6ff60cb614abe2.jpeg,2000,2000,"['#ed9577', '#75290f']",4a46ed85f1137df37ace7058021b91aa,image,image/jpeg,1470650,https://assets.calm.com/4a46ed85f1137df37ace7058021b91aa.jpeg,2000,2000,"['#3051aa', '#143290']",4a46ed85f1137df37ace7058021b91aa,image,image/jpeg,1470650,https://assets.calm.com/4a46ed85f1137df37ace7058021b91aa.jpeg,2000,2000,"['#3051aa', '#143290']",d73c75d1bcea35fcfc6ff60cb614abe2,image,image/jpeg,9193307,https://assets.calm.com/d73c75d1bcea35fcfc6ff60cb614abe2.jpeg,2000,2000,"['#ed9577', '#75290f']",,,,,,,,,,,,,,,,,,,,
cfikMdlJD8ZtzabAjX2ia,kUILrkWYhqTGdi7mq_R9P,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2022-03-07T23:00:00.000Z,14,Songbird,ko,0-default,Take a trip to 17th century Florence with Italian musician Francesca Caccini.,c7cb26a9bb483190fe7d8ed257713640,False,True,sleep_stories,generic,False,2022-03-03T19:08:25.559Z,2022-03-07T22:30:24.042Z,Histoire pour dormir,LqPw0wpY,Eurydice Da Silva,True,umxFJFueim,You In Seon,"KBS 44기 성우 유인선입니다. 
전속 2년 동안 라디오를 통해 찾아뵀었는데요, 이제 프리랜서로 더욱더 다양한 모습으로 찾아뵙겠습니다. 
편안하게 들어주세요. 고맙습니다.",False,2021-06-30T13:01:37.867Z,2021-07-06T16:32:48.509Z,ed1bc5568a7f6d84accb1b1e024424ce,image,image/jpeg,297050,https://assets.calm.com/ed1bc5568a7f6d84accb1b1e024424ce.jpeg,831,830,"['#cd888d', '#040c0c']",58dc82f2dbd02fc3289e1a0000c5092e,image,image/jpeg,2021735,https://assets.calm.com/58dc82f2dbd02fc3289e1a0000c5092e.jpeg,2000,2000,"['#3aa2e4', '#667c22']",78df812e030837b42f25b06c60b1b2cc,image,image/jpeg,9626899,https://assets.calm.com/78df812e030837b42f25b06c60b1b2cc.jpeg,2000,2000,"['#349cdb', '#627720']",78df812e030837b42f25b06c60b1b2cc,image,image/jpeg,9626899,https://assets.calm.com/78df812e030837b42f25b06c60b1b2cc.jpeg,2000,2000,"['#349cdb', '#627720']",58dc82f2dbd02fc3289e1a0000c5092e,image,image/jpeg,2021735,https://assets.calm.com/58dc82f2dbd02fc3289e1a0000c5092e.jpeg,2000,2000,"['#3aa2e4', '#667c22']",,,,,,,,,,,,,,,,,,,,
wB2ZIyvo3i,sRaYXgoBTK,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2020-08-19T17:30:00.000Z,62,The Ocean Moon,ko,0-default,"Drift away to the gorgeous voice of Jo Sae Ryeong, in this soothing tale of rolling trains, cresting waves, and a quest to the edge of the sea.",20193911542276e442b0f8040e60652f,False,True,sleep_stories,generic,False,2020-08-19T17:30:00.000Z,2021-06-04T16:34:07.924Z,Histoire pour dormir,xx8LLyxN,Chris Advansun,True,AkiQTWadrK,Jo Sae Ryeong,"Diplômée en théâtre et en cinéma à l'université, elle est aujourd'hui la voix officielle de KBS et a été entendue dans plus de 1000 spots publicitaires, dans des domaines aussi variés que les cosmétiques, l'informatique, la construction, la mode et l'automobile. Elle prête également sa voix à des documentaires sur la mode ou les voyages.",False,2019-12-11T18:46:59.798Z,2019-12-27T23:23:08.992Z,d3c04da329441a452ffc49dc6179368f,image,image/png,4580329,https://assets.calm.com/d3c04da329441a452ffc49dc6179368f.png,3000,3000,"['#c8bbb5', '#443231', '#7f5d4b']",d16efce62904cf0d7265506f8973edb5,image,image/png,4378735,https://assets.calm.com/d16efce62904cf0d7265506f8973edb5.png,1920,1920,"['#0573a4', '#063878']",90f7b59e606a873780633dd24a26c42b,image,image/jpeg,742182,https://assets.calm.com/90f7b59e606a873780633dd24a26c42b.jpeg,2400,2400,"['#047bac', '#043f7e']",90f7b59e606a873780633dd24a26c42b,image,image/jpeg,742182,https://assets.calm.com/90f7b59e606a873780633dd24a26c42b.jpeg,2400,2400,"['#047bac', '#043f7e']",d16efce62904cf0d7265506f8973edb5,image,image/png,4378735,https://assets.calm.com/d16efce62904cf0d7265506f8973edb5.png,1920,1920,"['#0573a4', '#063878']",,,,,,,,,,,,,,,,,,,,
h1_P7CjBn0,SmCLoZLkR7,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2019-09-10T20:55:41.330Z,93,The Seventeenth Princess,ko,0-default,Travel to a far away kingdom in tonight’s enchanting fairy tale about a young princess’ magical journey,5c5458cb55168259dae70b3f3685e975,False,True,sleep_stories,generic,False,2019-01-04T15:16:22.874Z,2021-06-04T16:34:07.924Z,Histoire pour dormir,xx8LLyxN,Chris Advansun,True,h2PgRx5jhI,Song Park,"Travaille dans divers domaines, y compris des émissions et des narrations pour faire la promotion de produits.

Il a joué un personnage appelé Tori dans l'animation <Super Racer Enzy> et plusieurs personnages de jeux vidéo.
",False,2019-09-03T20:40:35.944Z,2019-09-03T20:43:08.801Z,7b79deb1c75c776a89d3aeb797e94fc8,image,image/png,5347447,https://assets.calm.com/7b79deb1c75c776a89d3aeb797e94fc8.png,3000,3000,"['#efe9ec', '#493633', '#4f678f']",25559583ce99f686118cdf29b2d30d65,image,image/jpeg,10320132,https://assets.calm.com/25559583ce99f686118cdf29b2d30d65.jpeg,1920,1920,"['#d64d6f', '#0f686c']",309b2b9c545d751a22dca0b9b83eed37,image,image/jpeg,10718854,https://assets.calm.com/309b2b9c545d751a22dca0b9b83eed37.jpeg,1920,1920,"['#e14075', '#048c83']",309b2b9c545d751a22dca0b9b83eed37,image,image/jpeg,10718854,https://assets.calm.com/309b2b9c545d751a22dca0b9b83eed37.jpeg,1920,1920,"['#e14075', '#048c83']",25559583ce99f686118cdf29b2d30d65,image,image/jpeg,10320132,https://assets.calm.com/25559583ce99f686118cdf29b2d30d65.jpeg,1920,1920,"['#d64d6f', '#0f686c']",,,,,,,,,,"Song Park, acteur de doublage indépendant en Corée.",,,,,,,,,,
HfWfZsXaQl,I-7pnvdUJ4,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2020-02-19T02:30:00.000Z,84,The Trail to Machu Picchu,ko,0-default,"In tonight’s story, actress Kim Du Ri guides you through the mystic ancient ruins of Machu Picchu.",660961ae8f1044aa4eca2676d58f8cf6,False,True,sleep_stories,generic,False,2020-02-18T19:37:12.433Z,2021-06-04T16:34:07.924Z,Histoire pour dormir,r42XLLJp,Candace Rardon,True,MTlgSIxy74,Kim Du Ri,"Commentatrice du 37ème tournoi de go organisé par le KBS. Sa palette vocale couvre de nombreux genres : pièces radiophoniques, actualités et promotions d'entreprise, commentaires de documentaires et bien d'autres encore.",False,2020-02-11T20:51:54.951Z,2020-02-12T03:46:40.523Z,108df4f78610786d08bb7f2da5b27c46,image,image/png,3807377,https://assets.calm.com/108df4f78610786d08bb7f2da5b27c46.png,3000,3000,"['#bfa69c', '#2b1e27', '#6a3939']",34bb75073acd60b7fcb01104c9be8c67,image,image/jpeg,506266,https://assets.calm.com/34bb75073acd60b7fcb01104c9be8c67.jpeg,1920,1920,"['#9fb147', '#5d6d26']",04412a76c72bd22d380fa770a5c86248,image,image/jpeg,9057104,https://assets.calm.com/04412a76c72bd22d380fa770a5c86248.jpeg,1920,1920,"['#7c9c39', '#455220']",04412a76c72bd22d380fa770a5c86248,image,image/jpeg,9057104,https://assets.calm.com/04412a76c72bd22d380fa770a5c86248.jpeg,1920,1920,"['#7c9c39', '#455220']",bad64f99247c4c62fac5298edc129cc5,image,image/jpeg,67421,https://assets.calm.com/bad64f99247c4c62fac5298edc129cc5.jpeg,1125,300,"['#9eae4c', '#536321']",Non-Fiction,bad64f99247c4c62fac5298edc129cc5,image,image/jpeg,67421.0,https://assets.calm.com/bad64f99247c4c62fac5298edc129cc5.jpeg,1125.0,300.0,"['#9eae4c', '#536321']",,,,,,,,,,,
wDn0tO3gio,pshQW0XsJc,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2020-06-01T19:00:00.000Z,73,Floating with Florida's Manatees,ko,0-default,"Float along the tranquil waters of the Gulf and experience the charming, natural world of the adorable Florida manatee",7dc08daeada28e7a2b3717e5c350b004,False,True,sleep_stories,generic,False,2020-06-01T23:46:16.325Z,2021-06-04T16:34:07.924Z,Histoire pour dormir,A49ZOW1A,Phoebe Smith,True,ImG_YXmys7,Moon Ji Yeong,"Les voyages, la danse et les glaces. Ce sont ces choses qui me rendent heureuse. J'espère que tous ceux qui entendent ma voix connaissent autant de bonheur et de joie que moi.
",False,2020-05-15T20:06:56.933Z,2020-05-27T19:43:37.427Z,c654d3353aa8c1d8fa5be362de915634,image,image/jpeg,848192,https://assets.calm.com/c654d3353aa8c1d8fa5be362de915634.jpeg,1684,1660,"['#bec3c9', '#233b52', '#684e4e']",05f2ed2f19852be0e9b9d4e516261d28,image,image/jpeg,8636778,https://assets.calm.com/05f2ed2f19852be0e9b9d4e516261d28.jpeg,1920,1920,"['#34acbc', '#045b6d']",67664bcee0b37a94f1d280b2cd9ab968,image,image/jpeg,303370,https://assets.calm.com/67664bcee0b37a94f1d280b2cd9ab968.jpeg,1920,1920,"['#34a4ac', '#04424e']",67664bcee0b37a94f1d280b2cd9ab968,image,image/jpeg,303370,https://assets.calm.com/67664bcee0b37a94f1d280b2cd9ab968.jpeg,1920,1920,"['#34a4ac', '#04424e']",05f2ed2f19852be0e9b9d4e516261d28,image,image/jpeg,8636778,https://assets.calm.com/05f2ed2f19852be0e9b9d4e516261d28.jpeg,1920,1920,"['#34acbc', '#045b6d']",,,,,,,,,,,,,,,,,,,,
KxYROCcxbA,axXdCKsvF2,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2019-09-11T00:45:19.518Z,50,The Waterfall,ko,0-default,"A soothing story, narrated by Solmon Park.",cefc436c0f61fc07eb152d7b708d957b,False,True,sleep_stories,generic,False,2019-09-03T21:33:04.540Z,2021-08-17T18:31:38.868Z,Histoire pour dormir,xx8LLyxN,Chris Advansun,True,0XM_k65CUN,Solmon Park,"Riche carrière dans divers domaines tels que la radiodiffusion, les cérémonies de remise de prix, les expositions et la publicité. 

Possède un large éventail de voix, allant des voix chaudes et détendues aux voix vives et pleines de fraîcheur.
",False,2019-09-03T20:33:10.263Z,2019-09-03T20:40:11.199Z,01dfa721c328e2a495fdbc7b7ad70305,image,image/png,4444945,https://assets.calm.com/01dfa721c328e2a495fdbc7b7ad70305.png,3000,3000,"['#b7a89a', '#464039', '#505250']",38e49ff2056dffe4f34670d916e9a178,image,image/jpeg,583391,https://assets.calm.com/38e49ff2056dffe4f34670d916e9a178.jpeg,1920,1920,"['#b9ab41', '#1c2c53']",0bcff1d10307250355a5b59780330644,image,image/jpeg,9006377,https://assets.calm.com/0bcff1d10307250355a5b59780330644.jpeg,1920,1920,"['#ac844c', '#13345d']",0bcff1d10307250355a5b59780330644,image,image/jpeg,9006377,https://assets.calm.com/0bcff1d10307250355a5b59780330644.jpeg,1920,1920,"['#ac844c', '#13345d']",38e49ff2056dffe4f34670d916e9a178,image,image/jpeg,583391,https://assets.calm.com/38e49ff2056dffe4f34670d916e9a178.jpeg,1920,1920,"['#b9ab41', '#1c2c53']",Fiction,,,,,,,,,"Solmon Park, un acteur de doublage.",,,,,,,,,,
