category,title,highlight,article_count,department,completion_month
售后服务与保障,从报修到复工：诺华赛售后“24小时响应圈”的幕后故事,响应机制，服务安排，培训计划（强调确定性。客户不关心流程，关心故障多久能修好。）,1,售后运营部,3
,零下20度的坚持：记新疆项目现场的调试日记,以那个“最敬业员工”为原型，记录技术人员在艰苦环境下的工作瞬间。,1,售后运营部,4
技术实力,从100ml到100吨：实验室数据如何精准预测工业化未来？,强调转化率。突出实验室对降低工业化风险的决策价值。,1,研发部,4
新工艺,Run 4.0 实战：当分离工艺遇上 AI，生产效率提升了多少？,强调降本增效。用具体案例数据（如减碳、省电）说话。,1,工艺部,5
案例研究,某氨基酸大厂：如何通过色谱技术优化解决纯度波动难题？,强调痛点解决。不要只写品类，要写解决了什么具体的技术坑。,1,工艺，研发，工程部,6
专家面对面,对话诺华赛工艺专家：合成生物学下游纯化的3大难点解析,邀请公司的核心技术大咖，针对行业热点（如：乳铁蛋白分离、己二腈生产中的纯化）进行深度访谈。,1,工艺，研发，工程部,6
质量透明化,一台色谱设备的“出厂长征路”：诺华赛质量体系背后的细节控,记录一台设备从零件进厂到新疆现场交付经历的ISO标准检测、FAT/SAT测试。,1,工程部,7
环保,不止于分离：诺华赛如何助力工厂减少50%的溶剂消耗？,拆解绿色纯化工艺在减碳、资源回收方面的具体贡献。,1,技术部，工艺部,8
耗材类,从微观孔径到宏观效益：Applexion™ XA 系列树脂如何重新定义高效交换？,在工业分离中，树脂就像过滤器的“心脏”。许多工厂面临树脂易破碎、交换容量衰减快、再生频率高、洗脱液用量大等痛点。介绍 Applexion™ XA 系列。强调这不仅是一款耗材，更是诺华赛数十年分离工艺积淀的结晶。,1,研发，技术,9
展会,,宣传,3,销售部,"3,5,8"
年终总结,,"销售部（拜访客户数量）
研发（开发新产品数量）
售后（处理了多少客户问题）
工程（完成了多少项目，质量如何）
人事（团建文化）",1,销售部，研发部，工程部，售后部，人事行政,12
农历新年,,企业文化宣传+答谢客户,1,销售部,次年1月
