id,variant_id,ch_allowed_plan_tiers,meditation_type,published_at,position,title,language,content_group,description,icon_asset_id,featured_start_at,featured_end_at,is_hidden,should_play_as_guide,search_category,upsell_variant,is_clinical,created_at,updated_at,content_type,author_id,author_name,author_should_display,narrator_id,narrator_name,narrator_bio,narrator_is_composer,narrator_created_at,narrator_updated_at,narrator_headshot_id,narrator_headshot_type,narrator_headshot_content_type,narrator_headshot_size,narrator_headshot_url,narrator_headshot_width,narrator_headshot_height,narrator_headshot_dominant_colors,background_image_id,background_image_type,background_image_content_type,background_image_size,background_image_url,background_image_width,background_image_height,background_image_dominant_colors,titled_background_image_id,titled_background_image_type,titled_background_image_content_type,titled_background_image_size,titled_background_image_url,titled_background_image_width,titled_background_image_height,titled_background_image_dominant_colors,cell_image_id,cell_image_type,cell_image_content_type,cell_image_size,cell_image_url,cell_image_width,cell_image_height,cell_image_dominant_colors,untitled_cell_image_id,untitled_cell_image_type,untitled_cell_image_content_type,untitled_cell_image_size,untitled_cell_image_url,untitled_cell_image_width,untitled_cell_image_height,untitled_cell_image_dominant_colors,metadata_indexed_search_text,metadata_program_view_hides_play_button,narrator_medium_bio,metadata_exclude_from_search,narrator_short_bio,subtitle,restricted_to_products,featured_home_icon_id,featured_home_icon_type,featured_home_icon_content_type,featured_home_icon_size,featured_home_icon_url,featured_home_icon_width,featured_home_icon_height,featured_home_icon_dominant_colors,cell_background_image_id,cell_background_image_type,cell_background_image_content_type,cell_background_image_size,cell_background_image_url,cell_background_image_width,cell_background_image_height,cell_background_image_dominant_colors
_hBJzSFiIN,PDUU8jJyeB,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2022-05-01T17:00:00.000Z,5,Mama Bear,en,0-default,Mama Bear reveals what really happened when Goldilocks met the Bearable family.,ba9eaa92dbbc7586b575f8014e8e6ee2,2022-05-01T07:00:00.000Z,2022-05-07T17:00:00.000Z,False,True,sleep_stories,generic,False,2022-04-14T19:17:22.482Z,2025-03-10T15:05:26.330Z,Histoire pour dormir,6QrmQ0A9,Ryan Stout & Laura Canty-Samuel ,True,QwedN5Mz2n,Maya Rudolph,"L’actrice Maya Rudolph, récompensée aux Emmy Awards, vient d’achever le tournage de la série comique Forever réalisée par Alan Yang et Matt Hubbard pour Apple TV+. Elle sera bientôt à l’affiche du film de Disney « Il était une fois 2 ». Maya a réalisé l’exploit de remporter deux Emmy Awards pour « Saturday Night Live » et « Big Mouth » deux années de suite, en 2020 et 2021. Elle a récemment prêté sa voix à deux dessins animés très populaires : « Luca » pour Disney et « Les Mitchell contre les machines » pour Netflix. Maya et sa société de production Animal Pictures ont récemment produit la comédie exclusive de Netflix « Sarah Cooper: Everything’s Fine. »",False,2022-04-26T18:09:36.310Z,2022-04-26T18:10:32.067Z,4dc57f60ce79ab2795d568a9d44ae2aa,image,image/jpeg,3097900,https://assets.calm.com/4dc57f60ce79ab2795d568a9d44ae2aa.jpeg,2223,2223,"['#e5383c', '#921d23']",7b25bdb0b2d744ffcdf73dc9bffe4b3b,image,image/jpeg,1517461,https://assets.calm.com/7b25bdb0b2d744ffcdf73dc9bffe4b3b.jpeg,3000,3000,"['#c5624a', '#246441']",8ec28bf9312d9f28c07a2bb483f3a0ee,image,image/jpeg,1575630,https://assets.calm.com/8ec28bf9312d9f28c07a2bb483f3a0ee.jpeg,3000,3000,"['#c5624a', '#245c3b']",8ec28bf9312d9f28c07a2bb483f3a0ee,image,image/jpeg,1575630,https://assets.calm.com/8ec28bf9312d9f28c07a2bb483f3a0ee.jpeg,3000,3000,"['#c5624a', '#245c3b']",7b25bdb0b2d744ffcdf73dc9bffe4b3b,image,image/jpeg,1517461,https://assets.calm.com/7b25bdb0b2d744ffcdf73dc9bffe4b3b.jpeg,3000,3000,"['#c5624a', '#246441']",,,,,,,,,,,,,,,,,,,,,,,
k2MhoXWxBY,DMqWRnI9ok,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2022-09-04T17:00:00.000Z,3,Flutter Away,en,0-default,Ring's magical circus promises its greatest performance yet!,b998a93ab4f2df3eb83c8f88d59f8b72,,,False,True,sleep_stories,generic,False,2022-08-08T21:22:40.386Z,2025-03-06T16:17:27.321Z,Histoire pour dormir,mKxrRmDZ,Claire Epstein,True,DhC157SOeO,P!NK,"P!NK, musicienne récompensée par un Grammy Award et artiste reconnue, est mondialement célèbre pour son impact sur la culture pop et l’industrie du divertissement, mais sa réussite la plus importante est sa capacité à équilibrer vie professionnelle et vie de famille. La maman de Willow et Jameson a toujours rêvé d’être une rock star, et avec Calm, elle aide les enfants du monde entier à s’endormir et à partir à la découverte de leurs rêves.",False,2022-02-11T19:20:59.775Z,2022-02-11T19:23:58.019Z,a4ced5aa4d0b020d9c1fca6bc6675e7f,image,image/jpeg,2794780,https://assets.calm.com/a4ced5aa4d0b020d9c1fca6bc6675e7f.jpeg,2930,3900,"['#b67b48', '#5e4025']",f76d56ab270364db6e6214e6f3d6d757,image,image/jpeg,1115809,https://assets.calm.com/f76d56ab270364db6e6214e6f3d6d757.jpeg,3000,3000,"['#db274f', '#56148e']",08a804ea8c143274a5a28e3dbffc00d0,image,image/jpeg,1385836,https://assets.calm.com/08a804ea8c143274a5a28e3dbffc00d0.jpeg,3000,3000,"['#d12e5d', '#4c0c7c']",08a804ea8c143274a5a28e3dbffc00d0,image,image/jpeg,1385836,https://assets.calm.com/08a804ea8c143274a5a28e3dbffc00d0.jpeg,3000,3000,"['#d12e5d', '#4c0c7c']",f76d56ab270364db6e6214e6f3d6d757,image,image/jpeg,1115809,https://assets.calm.com/f76d56ab270364db6e6214e6f3d6d757.jpeg,3000,3000,"['#db274f', '#56148e']",PINK,False,,,,,,,,,,,,,,,,,,,,,
HZAUxdG_OK,iBqkY3iGAh,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2022-09-20T17:00:00.000Z,3,A Baseball Story,en,0-default,Wander through heartfelt memories of America’s favorite pastime as we take you out to the ballgame.,3db47c8997063d7606b62696954846aa,,,False,True,sleep_stories,generic,False,2022-09-06T17:30:45.114Z,2025-03-24T15:09:25.154Z,Schlafgeschichte,rzGM3Q2w,Charles Duffie,True,lCzr6JtvDC,Pamela Dunlap,"Die Schauspielerin Pamela Dunlap, die ursprünglich aus New York stammt, ist jetzt an beiden US-Küsten für Hunderte Film- und Fernsehrollen tätig.Zu den aktuellen Fernseh- und Filmrollen von Frau Dunlap gehören Gastrollen  bei DR. DEATH, NEW AMSTERDAM und im bald veröffentlichten Spielfilm GRADE FOUR.

Sie war öfters in MAD MEN als Pauline Francis zu sehen und ein Mitglied des Ensembles der Circle Repertory Company. Heute ist sie Mitglied von The Actors Center in New York City. Zu den erwähnenswerten Filmen zählen DER DISTELFINK, THE KITCHEN sowie DAS GRAUEN, ICH BIN SAM und DER ROSENKRIEG.",False,2022-09-06T18:04:35.064Z,2022-09-13T16:47:00.040Z,f65b766df86e914cb1e7d09f6d993400,image,image/png,87950,https://assets.calm.com/f65b766df86e914cb1e7d09f6d993400.png,275,275,"['#bc8b69', '#3c1c04']",c02798052a2924290b6f17b566caffde,image,image/jpeg,4073854,https://assets.calm.com/c02798052a2924290b6f17b566caffde.jpeg,3000,3000,"['#e4af2c', '#61560e']",bbb841cf272b9cae194aad1d45d347f7,image,image/jpeg,4131735,https://assets.calm.com/bbb841cf272b9cae194aad1d45d347f7.jpeg,3000,3000,"['#debc20', '#5d530f']",bbb841cf272b9cae194aad1d45d347f7,image,image/jpeg,4131735,https://assets.calm.com/bbb841cf272b9cae194aad1d45d347f7.jpeg,3000,3000,"['#debc20', '#5d530f']",c02798052a2924290b6f17b566caffde,image,image/jpeg,4073854,https://assets.calm.com/c02798052a2924290b6f17b566caffde.jpeg,3000,3000,"['#e4af2c', '#61560e']",,,,,,,,,,,,,,,,,,,,,,,
l3Pb38vWvw,ricvQIHusr,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2023-02-14T18:00:00.000Z,10653,Shakespeare's Sonnets Part 3,en,0-default,Let The Bard lull you to sleep with this enduring collection of celebrated poetry.,229697f97c62838602a412081ccab33b,,,False,True,sleep_stories,generic,False,2022-12-29T01:56:22.514Z,2024-11-14T18:18:37.451Z,Schlafgeschichte,rv993D3L,William Shakespeare,True,41exmbWrmm,Anna Acton,"Anna ist eine britisch-amerikanische Schauspielerin und preisgekrönte Stimmkünstlerin. Zu ihrem umfassenden Lebenslauf gehören Theater, Film, Fernsehen, Werbung und Radio. Sie ist vor allem für ihre regelmäßigen Rollen in verschiedenen Fernsehserien bekannt, die mit BAFTA-Awards ausgezeichnet wurden. Dazu zählen Eastenders (BBC), Topsy and Tim (BBC), The Bill (ITV) und Family Affairs (C5). Sie hat mehrere Hörbücher eingesprochen und Charakteren in vielen bekannten und preisgekrönten Videospielen ihre Stimme geliehen.",False,2017-06-27T20:45:52.188Z,2020-07-07T14:18:39.375Z,50ab86033b275894e080f56bfe6ae905,image,image/jpeg,413648,https://assets.calm.com/50ab86033b275894e080f56bfe6ae905.jpeg,750,750,"['#d5aba6', '#352422', '#6b4540']",b7c7806f2f625ae547d146709dd24656,image,image/jpeg,5663128,https://assets.calm.com/b7c7806f2f625ae547d146709dd24656.jpeg,2000,2000,"['#c96c31', '#8d451c']",2a2cde15fed68dccf6de13d46a7edd11,image,image/jpeg,5572439,https://assets.calm.com/2a2cde15fed68dccf6de13d46a7edd11.jpeg,2000,2000,"['#c96c31', '#672c1f']",2a2cde15fed68dccf6de13d46a7edd11,image,image/jpeg,5572439,https://assets.calm.com/2a2cde15fed68dccf6de13d46a7edd11.jpeg,2000,2000,"['#c96c31', '#672c1f']",b7c7806f2f625ae547d146709dd24656,image,image/jpeg,5663128,https://assets.calm.com/b7c7806f2f625ae547d146709dd24656.jpeg,2000,2000,"['#c96c31', '#8d451c']","Shakespeare's Sonnets, Shakespeares Sonnets, Sonnets, ShakespeareShakespeare's Sonnets, Shakespeares Sonnets, Sonnets, Shakespeare",False,"Schauspielerin aus England. Sie liest fiktive Geschichten, Märchen und Reiseerzählungen zum Einschlafen.",,,,,,,,,,,,,,,,,,,,
DOBW5JTyL-,al3N0Hz_lE,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2023-01-03T18:00:00.000Z,10640,Extreme Sleeps: Glacier,en,0-default,Find slumber in the least expected place — inside a sparkling mountain of ice.,9fac940976096edbbc6967f341ac1f2d,,,False,True,sleep_stories,generic,False,2022-12-20T06:26:45.976Z,2022-12-20T06:29:20.380Z,Schlafgeschichte,A49ZOW1A,Phoebe Smith,True,ka5Xm5ZDp8,Nimmy March,"Nimmy ist eine englische Schauspielerin und Synchronsprecherin. Einige Meilensteine ihrer langjährigen Schauspielkarriere sind Albion Market, Goodnight Sweetheart, Casualty, William and Mary, Doctors, Strictly Confidential und The Bill. Sie war 2008 Sprecherin in der Fernsehserie „Last Voices of World War 1“ im History Channel. Nimmy ist für ihre Fernsehrollen in den 80er und 90er Jahren bekannt, wie zum Beispiel als Claudette, Delberts Freundin, in der Lenny Henry-Show, Hauptrollen in „40“ neben Eddie Izzard und „Common As Muck“ mit Edward Woodward. Weitere Fernseherfolge waren Gastrollen in den meisten britischen Soap Operas und in Death in Paradise, Midsomer Murders und Agatha Raisin.",False,2021-11-03T22:55:43.027Z,2021-11-03T22:56:29.875Z,aca1a261de6ce7cf51ce82c7a06781cc,image,image/jpeg,401435,https://assets.calm.com/aca1a261de6ce7cf51ce82c7a06781cc.jpeg,3015,3016,"['#7f7f7f', '#424242']",fff463914521ebeaf6713ae999302507,image,image/jpeg,3177941,https://assets.calm.com/fff463914521ebeaf6713ae999302507.jpeg,2500,2500,"['#1f96d6', '#0f387a']",eb78c0761d9c3d470de3f3f03c6a2a2e,image,image/jpeg,3167999,https://assets.calm.com/eb78c0761d9c3d470de3f3f03c6a2a2e.jpeg,2500,2500,"['#1084d4', '#0f387a']",eb78c0761d9c3d470de3f3f03c6a2a2e,image,image/jpeg,3167999,https://assets.calm.com/eb78c0761d9c3d470de3f3f03c6a2a2e.jpeg,2500,2500,"['#1084d4', '#0f387a']",fff463914521ebeaf6713ae999302507,image,image/jpeg,3177941,https://assets.calm.com/fff463914521ebeaf6713ae999302507.jpeg,2500,2500,"['#1f96d6', '#0f387a']","Extreme Sleeps, Extreme Sleeps: Glacier, Glacier",False,,,,,,,,,,,,,,,,,,,,,
wdKGLcw9Kh,uO6843X5Am,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2022-10-18T17:00:00.000Z,3,Extreme Sleeps: Mt. Everest,en,0-default,Find slumber in a most unlikely place: the highest mountain in the world.,4af1380759c398333ee4db3ca991f3af,,,False,True,sleep_stories,generic,False,2022-10-05T18:41:35.370Z,2022-10-05T18:51:20.352Z,Schlafgeschichte,A49ZOW1A,Phoebe Smith,True,41exmbWrmm,Anna Acton,"Anna ist eine britisch-amerikanische Schauspielerin und preisgekrönte Stimmkünstlerin. Zu ihrem umfassenden Lebenslauf gehören Theater, Film, Fernsehen, Werbung und Radio. Sie ist vor allem für ihre regelmäßigen Rollen in verschiedenen Fernsehserien bekannt, die mit BAFTA-Awards ausgezeichnet wurden. Dazu zählen Eastenders (BBC), Topsy and Tim (BBC), The Bill (ITV) und Family Affairs (C5). Sie hat mehrere Hörbücher eingesprochen und Charakteren in vielen bekannten und preisgekrönten Videospielen ihre Stimme geliehen.",False,2017-06-27T20:45:52.188Z,2020-07-07T14:18:39.375Z,50ab86033b275894e080f56bfe6ae905,image,image/jpeg,413648,https://assets.calm.com/50ab86033b275894e080f56bfe6ae905.jpeg,750,750,"['#d5aba6', '#352422', '#6b4540']",ef7989932a96321cbea1dfa2f6510ee9,image,image/jpeg,2234903,https://assets.calm.com/ef7989932a96321cbea1dfa2f6510ee9.jpeg,2000,2000,"['#0d6bb8', '#04427a']",91a41fb0342904701875cf3718344322,image,image/jpeg,2320277,https://assets.calm.com/91a41fb0342904701875cf3718344322.jpeg,2000,2000,"['#d38c41', '#04427a']",91a41fb0342904701875cf3718344322,image,image/jpeg,2320277,https://assets.calm.com/91a41fb0342904701875cf3718344322.jpeg,2000,2000,"['#d38c41', '#04427a']",ef7989932a96321cbea1dfa2f6510ee9,image,image/jpeg,2234903,https://assets.calm.com/ef7989932a96321cbea1dfa2f6510ee9.jpeg,2000,2000,"['#0d6bb8', '#04427a']",,,"Schauspielerin aus England. Sie liest fiktive Geschichten, Märchen und Reiseerzählungen zum Einschlafen.",,,,,,,,,,,,,,,,,,,,
XBhysh6RUn,RPcHlyOEnZ,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2024-02-13T18:00:00.000Z,11282,Big Sister’s Big-time Bedtime Story,en,0-default,Big Sister is up for the big-time challenge of getting her brothers to bed on time.,0ad9d8e2b7c3bdafe692db2d5352316b,,,False,True,sleep_stories,generic,False,2024-01-25T21:12:12.561Z,2025-03-04T16:02:14.174Z,Schlafgeschichte,109LkEOV,Lorraine DeGraffenreidt,True,41UxvSU94,Trekina White,"Als Synchronsprecherin in der San Francisco Bay Area erweckt Trekina mit ihrer Stimme leidenschaftlich gern Projekte zum Leben. Sie hat für AT&T Nation’s Football Classic, John Muir Health, PBS Kids, PlayStation und verschiedene Hörbuchproduktionen gearbeitet, und die Liste erweitert sich ständig. Trekina freut sich unglaublich über die Zusammenarbeit mit Calm und hofft, die Welt dadurch positiver, friedlicher und entspannter zu machen.",False,2018-03-29T21:17:09.711Z,2018-09-17T23:47:07.822Z,30191e5c91d7fb02832d80236be6a5fa,image,image/jpeg,68701,https://assets.calm.com/30191e5c91d7fb02832d80236be6a5fa.jpeg,453,457,"['#3d2c28', '#bc978a', '#97a4bf']",514770d486feac5bb7bf44338098aba0,image,image/jpeg,1938086,https://assets.calm.com/514770d486feac5bb7bf44338098aba0.jpeg,2500,2500,"['#e1aa0d', '#88500e']",0ad9d8e2b7c3bdafe692db2d5352316b,image,image/jpeg,1900157,https://assets.calm.com/0ad9d8e2b7c3bdafe692db2d5352316b.jpeg,2500,2500,"['#dfa90d', '#8e550f']",0ad9d8e2b7c3bdafe692db2d5352316b,image,image/jpeg,1900157,https://assets.calm.com/0ad9d8e2b7c3bdafe692db2d5352316b.jpeg,2500,2500,"['#dfa90d', '#8e550f']",514770d486feac5bb7bf44338098aba0,image,image/jpeg,1938086,https://assets.calm.com/514770d486feac5bb7bf44338098aba0.jpeg,2500,2500,"['#e1aa0d', '#88500e']",,,,,,,,,,,,,,,,,,,,,,,
8oeMP3EP06,UlY0Zifaol,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2025-06-22T17:00:00.000Z,12581,Rainy Day at the Tailors,en,0-default,"A kindly tailor welcomes you into her quaint shop, just as it starts to rain. Hear the tinkling bells on the door, the gentle whirr of an assistant tailor’s old sewing machine, perhaps a sleepy shop cat, purring on a tufted stool. You’ve come in to have a hand-me-down garment tailored to fit.",d1003ba80d05636bd7486d8e5d650760,,,False,True,sleep_stories,generic,False,2025-06-10T13:14:02.657Z,2025-06-11T13:45:34.884Z,Schlafgeschichte,y3KNGAmj,Sarah Sharp,True,Yf41qYBgDn,Cat Nguyen,"Cat Nguyen ist eine in Atlanta ansässige Sprecherin und Schauspielerin, zu deren Portfolio Meditationen, Werbungen, e-Learning-Projekte und mehr zählen. Sie ist auch eine zertifizierte Gesundheits- und Wellnesstrainerin mit einer Leidenschaft für mentale Gesundheit. Abseits ihrer Arbeit fährt sie gerne mit ihrem Longboard, übt Gitarre oder praktiziert Yoga.",False,2023-03-13T18:17:51.801Z,2023-03-21T19:40:41.467Z,090651ec277415ec0654e5e5ad1e9f93,image,image/png,2727939,https://assets.calm.com/090651ec277415ec0654e5e5ad1e9f93.png,2151,2151,"['#ae6f53', '#2c1506']",531a3fc8bb6cc497aaec57ace69a5088,image,image/jpeg,11466277,https://assets.calm.com/531a3fc8bb6cc497aaec57ace69a5088.jpeg,2000,2000,"['#bc8145', '#a1571b']",9ea62d0afe6eb1ad6e06f2de22ff49c5,image,image/jpeg,11265743,https://assets.calm.com/9ea62d0afe6eb1ad6e06f2de22ff49c5.jpeg,2000,2000,"['#c08647', '#42210b']",9ea62d0afe6eb1ad6e06f2de22ff49c5,image,image/jpeg,11265743,https://assets.calm.com/9ea62d0afe6eb1ad6e06f2de22ff49c5.jpeg,2000,2000,"['#c08647', '#42210b']",531a3fc8bb6cc497aaec57ace69a5088,image,image/jpeg,11466277,https://assets.calm.com/531a3fc8bb6cc497aaec57ace69a5088.jpeg,2000,2000,"['#bc8145', '#a1571b']","rain, shop, nostalgia, care",False,,,,,,,,,,,,,,,,,,,,,
gUvk8elejV,l4Ja2cTowu,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2023-07-04T17:00:00.000Z,10937,From Sea to Sky,en,0-default,Travel through the crystalline waters and verdant mountains of Vancouver from Sea to Sky.,8fc1c35818aa59686ef00a6a756d8f24,,,False,True,sleep_stories,generic,False,2023-06-13T21:49:38.803Z,2023-06-22T02:07:37.461Z,Schlafgeschichte,G0oKgx1P,Keegan Connor Tracy,True,3WJkuVvzZc,Keegan Connor Tracy,"Keegan Connor Tracy ist preisgekrönte Schauspielerin, Autorin und Regisseurin. Zu ihren bekanntesten Rollen gehören die blaue Fee in One Upon a Time auf ABC, Belle in Descendants, Blaire Watson in Bates Motel und Professor Lipson in The Magicians. Zurzeit hält sie sich eher hinter der Kamera auf, und plant ihren zweiten Film noch für 2019.  Kürzlich erschien ihr Kinderbuch „This is a Job for Mommy!“, und sie entwickelt gerade eine TV-Serie.",False,2019-04-22T23:48:38.247Z,2019-04-22T23:50:52.222Z,2dd771ece2c0daddf980c7e4d50a6c96,image,image/jpeg,113737,https://assets.calm.com/2dd771ece2c0daddf980c7e4d50a6c96.jpeg,921,921,"['#d8b8a3', '#28120f', '#814a37']",ec11c5694eff67854ef13e44c207ca17,image,image/jpeg,3786101,https://assets.calm.com/ec11c5694eff67854ef13e44c207ca17.jpeg,2500,2500,"['#bc8413', '#744c04']",d49cfd32800871621846b251ddde2a27,image,image/jpeg,3822184,https://assets.calm.com/d49cfd32800871621846b251ddde2a27.jpeg,2500,2500,"['#ba891d', '#7e6412']",d49cfd32800871621846b251ddde2a27,image,image/jpeg,3822184,https://assets.calm.com/d49cfd32800871621846b251ddde2a27.jpeg,2500,2500,"['#ba891d', '#7e6412']",ec11c5694eff67854ef13e44c207ca17,image,image/jpeg,3786101,https://assets.calm.com/ec11c5694eff67854ef13e44c207ca17.jpeg,2500,2500,"['#bc8413', '#744c04']","Sea to Sky, Vancouver, Canada",False,"Preisgekrönte Schauspielerin, Schriftstellerin und Regisseurin. Sie liest Geschichten für Kinder und Volksmärchen.",,,,,,,,,,,,,,,,,,,,
oyAsdLnhgR,Ai3ulWsPlX,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2024-05-28T17:00:00.000Z,11482,Gallery Of Dreams,en,0-default,Join Emmy© Award Winning Actress Sheryl Lee Ralph for an exploration of dreams and gratitude.,c67359e6fa246b6fc78aab7364cab243,2024-05-28T23:00:00.000Z,2024-05-29T23:00:00.000Z,False,True,sleep_stories,generic,False,2024-05-07T18:13:07.849Z,2024-10-19T16:08:52.494Z,Schlafgeschichte,Q2NMLZzw,Jonterri Gadson,True,wWTGzWhTqe,Sheryl Lee Ralph,"Mit ihrer gefeierten Karriere, die sich über mehr als drei Jahrzehnte erstreckt, ist Sheryl Lee Ralph zu einer festen Größe in der Unterhaltungsbranche geworden. Sheryl begann im Theater und wurde für ihre Rolle von Deena Jones im legendären Broadway-Musical „Dreamgirls“ für die Tony und Drama Desk Awards als Beste Schauspielerin nominiert. In den Jahrzehnten seitdem hatte sie Hunderte Auftritte im Fernsehen, in Filmen und auf der Bühne. Heute kennst du sie vielleicht als Ms. Howard von Abbott Elementary, eine Rolle, für die sie eine Reihe von Nominierungen und Auszeichnungen erhielt.",False,2024-05-07T18:17:29.106Z,2024-05-21T16:16:59.276Z,b8f3ff697cb6b9942360d8ccf1c9f867,image,image/png,1543097,https://assets.calm.com/b8f3ff697cb6b9942360d8ccf1c9f867.png,1080,1080,"['#b57850', '#04347c']",bbf2c77f1a50d77bbfc650b61e9e997d,image,image/png,1532013,https://assets.calm.com/bbf2c77f1a50d77bbfc650b61e9e997d.png,1080,1080,"['#cea55b', '#664c1e']",4aaf8ca80788815cfc939f563c285b35,image,image/jpeg,2635122,https://assets.calm.com/4aaf8ca80788815cfc939f563c285b35.jpeg,2160,2160,"['#b27445', '#04357d']",4aaf8ca80788815cfc939f563c285b35,image,image/jpeg,2635122,https://assets.calm.com/4aaf8ca80788815cfc939f563c285b35.jpeg,2160,2160,"['#b27445', '#04357d']",bbf2c77f1a50d77bbfc650b61e9e997d,image,image/png,1532013,https://assets.calm.com/bbf2c77f1a50d77bbfc650b61e9e997d.png,1080,1080,"['#cea55b', '#664c1e']","Dreamgirls, Abbott, Elementary, Tony, Emmy",False,,,,,,,,,,,,,,,,,,,,,
