ai_model_name,query_category,ai_confidence_percentage,response_character_count,has_cited_sources,contains_hedging_words,includes_disclaimer,answer_detail_level,respondent_age_bracket,education_level,digital_literacy_score,ai_familiarity_level,decision_importance,urgency_level,belief_alignment_status,subject_matter_expertise,trust_score_out_of_10,performed_fact_check,fact_check_method_used,verification_duration_mins,answer_accuracy_percentage,trust_calibration_valid,user_skepticism_category
Claude,math_calculation,93.23,527,TRUE,FALSE,FALSE,Moderate,45-54,Bachelors,Low,Intermediate,Low,Low,FALSE,FALSE,10,TRUE,Google Search,10.7,80.15,TRUE,Moderate Trust
Llama,recipe_cooking,84.47,581,FALSE,FALSE,FALSE,Specific,55-64,PhD,Expert,First Time,High,None,FALSE,TRUE,7.9,TRUE,Asked Expert,44.3,92.33,TRUE,Skeptical
Claude,general_knowledge,69.82,484,TRUE,TRUE,FALSE,Very Specific,35-44,High School,Medium,Intermediate,Critical,None,TRUE,FALSE,8.6,TRUE,Consulted Documentation,37.5,67.32,TRUE,Moderate Trust
Claude,creative_writing,79.61,73,TRUE,TRUE,FALSE,Specific,45-54,Professional,Low,Advanced,High,None,,FALSE,8.9,TRUE,Checked Official Source,22.7,73.12,TRUE,Moderate Trust
Claude,creative_writing,67.71,146,FALSE,TRUE,FALSE,Vague,55-64,Masters,Low,Expert,Low,None,TRUE,TRUE,9,TRUE,Academic Paper,43.7,81.05,TRUE,Moderate Trust
Mistral,math_calculation,93.41,198,FALSE,TRUE,FALSE,Moderate,18-24,Professional,Expert,Advanced,Medium,None,FALSE,FALSE,8.2,FALSE,,0,100,TRUE,Blind Trust
Claude,technical_coding,75.87,285,FALSE,FALSE,TRUE,Very Specific,18-24,High School,Expert,Expert,Low,High,FALSE,TRUE,7.6,FALSE,,0,79.04,TRUE,Moderate Trust
Claude,financial_advice,57.32,371,TRUE,FALSE,FALSE,Vague,55-64,Professional,Medium,First Time,Critical,High,,FALSE,6.4,FALSE,,0,55.65,TRUE,Moderate Trust
ChatGPT-3.5,medical_advice,50.17,344,FALSE,FALSE,TRUE,Vague,65+,PhD,Medium,Advanced,Medium,High,,FALSE,5.3,TRUE,Personal Testing,20,41.69,TRUE,Skeptical
Llama,medical_advice,58.77,63,FALSE,FALSE,TRUE,Vague,65+,Professional,Low,Expert,Medium,Low,FALSE,FALSE,5.6,TRUE,Cross-referenced Multiple AIs,23.5,50.81,TRUE,Skeptical
Claude,general_knowledge,82.85,331,TRUE,TRUE,TRUE,Specific,45-54,Masters,Expert,First Time,Medium,Medium,,TRUE,10,TRUE,Academic Paper,22.9,68.05,FALSE,Moderate Trust
Claude,recipe_cooking,76.69,70,TRUE,FALSE,TRUE,Moderate,18-24,Professional,Low,Expert,Low,Medium,,TRUE,9.9,FALSE,,0,62.11,FALSE,Blind Trust
