job_title,country,city,salary,currency,years_experience,skills,tools_models,work_mode,company_size,industry,year,education,gender,job_demand_index,source
Machine Learning Engineer,France,Paris,148500,EUR,15,"PyTorch, TensorFlow, Kubernetes","TensorFlow, ONNX",Remote,Large,Healthcare,2020,Diploma,Male,74,Synthetic approximation based on public salary reports
LLM Researcher,UAE,Abu Dhabi,643500,AED,15,"Distributed Training, PyTorch, Transformers","Custom LLM, Llama 3",Onsite,Large,Healthcare,2023,PhD,Non-binary,77,Synthetic approximation based on public salary reports
Data Scientist,France,Marseille,108000,EUR,4,"Scikit-learn, NumPy, Pandas","RandomForest, LightGBM",Remote,Medium,Technology,2022,Bachelors,Non-binary,80,Synthetic approximation based on public salary reports
Data Scientist,France,Lyon,60000,EUR,2,"SQL, Statistics, Python","RandomForest, LightGBM",Hybrid,Medium,Education,2023,Masters,Female,79,Synthetic approximation based on public salary reports
Machine Learning Engineer,Canada,Ottawa,105600,CAD,6,"TensorFlow, MLflow, Docker","TensorFlow, PyTorch",Hybrid,Large,Consulting,2024,Masters,Male,92,Synthetic approximation based on public salary reports
Machine Learning Engineer,France,Marseille,126500,EUR,5,"Python, Docker, PyTorch","ONNX, PyTorch",Remote,Large,Healthcare,2022,Bachelors,Prefer not to say,87,Synthetic approximation based on public salary reports
LLM Researcher,United Kingdom,Cambridge,70200,GBP,1,"Distributed Training, Reinforcement Learning, Deep Learning","DeepSpeed, Custom LLM",Onsite,Large,Finance,2020,Bachelors,Female,52,Synthetic approximation based on public salary reports
Data Scientist,United States,Boston,253000,USD,9,"NumPy, Statistics, Pandas","XGBoost, RandomForest",Remote,Medium,Education,2023,Masters,Female,80,Synthetic approximation based on public salary reports
Machine Learning Engineer,Germany,Frankfurt,158400,EUR,13,"Kubernetes, MLflow, Python","PyTorch, TensorFlow",Hybrid,Large,Technology,2025,PhD,Prefer not to say,98,Synthetic approximation based on public salary reports
LLM Researcher,Germany,Frankfurt,166400,EUR,12,"Distributed Training, Transformers, Reinforcement Learning","DeepSpeed, Mistral",Hybrid,Large,Education,2020,Bachelors,Female,57,Synthetic approximation based on public salary reports
Machine Learning Engineer,Singapore,Singapore,93500,SGD,0,"Docker, PyTorch, TensorFlow","ONNX, PyTorch",Onsite,Large,Education,2024,Bachelors,Non-binary,99,Synthetic approximation based on public salary reports
Generative AI Engineer,Australia,Brisbane,297500,AUD,15,"Python, RAG, LangChain","Stable Diffusion, Llama 3",Remote,Large,Healthcare,2025,Diploma,Non-binary,89,Synthetic approximation based on public salary reports
Data Scientist,United Kingdom,Manchester,112000,GBP,7,"Python, SQL, NumPy","RandomForest, LightGBM",Remote,Large,Finance,2025,PhD,Prefer not to say,93,Synthetic approximation based on public salary reports
Prompt Engineer,United Kingdom,London,109250,GBP,8,"Evaluation, Python, A/B Testing","Llama 3, GPT-4",Remote,Startup,Healthcare,2021,Bachelors,Male,57,Synthetic approximation based on public salary reports
Generative AI Engineer,Germany,Berlin,133750,EUR,8,"Python, Transformers, PyTorch","GPT-4, Llama 3",Remote,Large,Healthcare,2021,Masters,Prefer not to say,64,Synthetic approximation based on public salary reports
