company_name,sector,founded_year,hq_location,website,official_logo_url,funding_stage,valuation_billions,employee_count,date_retrieved,source,url
Boston Dynamics,Humanoid,1992,Waltham MA USA,https://www.bostondynamics.com,https://www.bostondynamics.com/content/themes/bd/assets/img/logos/boston-dynamics-logo.svg,Acquired by Hyundai (2020),1.0,1400,2025-02-02,BotInfo AI,https://botinfo.ai/articles/humanoid-robot
Figure AI,Humanoid,2022,Sunnyvale CA USA,https://www.figure.ai,https://www.figure.ai/wp-content/uploads/2023/08/Figure-Logo-Dark.png,Series D/$675M,2.6,400,2025-02-02,BotInfo AI,https://botinfo.ai/articles/humanoid-robot
Tesla (Optimus),Humanoid,2003,Austin TX USA,https://www.tesla.com,https://www.tesla.com/themes/tesla/assets/images/logos/tesla-logo.svg,Public/$830B market cap,830,140000,2025-02-02,Tesla,https://www.tesla.com
Agility Robotics,Humanoid,2015,Corvallis OR USA,https://www.agilityrobotics.com,https://www.agilityrobotics.com/assets/img/agility-logo.svg,Series C/$150M,0.5,250,2025-02-02,BotInfo AI,https://botinfo.ai/articles/humanoid-robot
Apptronik,Humanoid,2016,Austin TX USA,https://www.apptronik.com,https://www.apptronik.com/wp-content/uploads/2023/01/apptronik-logo.svg,Series B/$77M,0.15,150,2025-02-02,Business Insider,https://www.businessinsider.com/humanoid-robot-companies-us-tesla-figure-1x-agility-apptronik-2025-11
Unitree,Humanoid,2016,Hangzhou China,https://www.unitree.com,https://www.unitree.com/images/logo.png,Private/估值$1B+,1.0,1000,2025-02-02,BotInfo AI,https://botinfo.ai/articles/humanoid-robot
ABB Robotics,Industrial,1988,Zurich Switzerland,https://www.abb.com/robotics,https://www.abb.com/global/en/areas/robotics,Public/$34.5B revenue,34.5,105000,2025-02-02,Supply Chain 24/7,https://www.supplychain247.com/company/abb_robotics
FANUC,Industrial,1956,Oshino Japan,https://www.fanucamerica.com,https://www.fanucamerica.com/images/FANUC-logo.png,Public/$27B market cap,27,73000,2025-02-02,Visual Capitalist,https://www.visualcapitalist.com/the-worlds-top-industrial-robotics-companies-by-market-share/
Yaskawa Electric,Industrial,1915,Kitakyushu Japan,https://www.yaskawa.com,https://www.yaskawa.com/etc/designs/yaskawa/clientlibs/img/yaskawa-logo.svg,Public/$14B market cap,14,44000,2025-02-02,Manufacturing Digital,https://manufacturingdigital.com/top10/top-10-industrial-robot-manufacturers
KUKA,Industrial,1898,Augsburg Germany,https://www.kuka.com,https://www.kuka.com/-/media/kuka-corporate/files/images/logo-kuka.svg,Subsidiary of Midea,2.5,15000,2025-02-02,Visual Capitalist,https://www.visualcapitalist.com/the-worlds-top-industrial-robotics-companies-by-market-share/
Amazon Robotics,Logistics,2012,North Reading MA USA,https://www.amazonrobotics.com,https://www.amazon.com/ref=nav_logo,Internal Amazon division,N/A,15000,2025-02-02,Standard Bots,https://standardbots.com/blog/warehouse-robotics-companies
Locus Robotics,Logistics,2014,Wilmington MA USA,https://www.locusrobotics.com,https://www.locusrobotics.com/wp-content/themes/locus/assets/images/locus-logo.svg,Series E/$200M+,1.2,500,2025-02-02,Locus Robotics,https://www.locusrobotics.com/
